win_id,archetype,roi_id,rater,method,n_manual,n_obj,n_obj_unkept,n_obj_in_excl,tp,tp_points,recall,precision,ghost_frac,density_obj_net,median_cost_um,frac_inside_mask
A5_w4,A5,r5,model:deepseek_flash_nothink,cellpose_rgb,111,84,0,0,17,17,0.15315315315315314,0.20238095238095238,0.7976190476190477,1344.9740111274778,0.0,1.0
A5_w4,A5,r5,model:deepseek_flash_nothink,stardist_he,111,106,0,0,17,17,0.15315315315315314,0.16037735849056603,0.839622641509434,1697.2291092799126,0.0,0.8823529411764706
A5_w4,A5,r5,model:deepseek_flash_nothink,spaceranger,111,82,0,0,17,17,0.15315315315315314,0.2073170731707317,0.7926829268292683,1312.9508203863475,0.0,0.8823529411764706
A6_w1,A6,r2,model:deepseek_flash_nothink,cellpose_rgb,70,29,0,0,4,4,0.05714285714285714,0.13793103448275862,0.8620689655172413,464.03773528836984,0.0,0.75
A6_w1,A6,r2,model:deepseek_flash_nothink,stardist_he,70,47,0,0,2,2,0.02857142857142857,0.0425531914893617,0.9574468085106383,752.061157191496,0.0,1.0
A6_w1,A6,r2,model:deepseek_flash_nothink,spaceranger,70,58,0,0,3,3,0.04285714285714286,0.05172413793103448,0.9482758620689655,928.0754705767397,0.0,0.6666666666666666
A6_w2,A6,r3,model:deepseek_flash_nothink,cellpose_rgb,69,14,4,0,0,0,0.0,0.0,1.0,224.01821703576476,,
A6_w2,A6,r3,model:deepseek_flash_nothink,stardist_he,69,56,0,0,2,2,0.028985507246376812,0.03571428571428571,0.9642857142857143,896.072868143059,0.0,1.0
A6_w2,A6,r3,model:deepseek_flash_nothink,spaceranger,69,67,1,0,2,2,0.028985507246376812,0.029850746268656716,0.9701492537313433,1072.0871815283028,0.0,1.0
A6_w3,A6,r4,model:deepseek_flash_nothink,cellpose_rgb,69,23,0,0,0,0,0.0,0.0,1.0,368.0299279873278,,
A6_w3,A6,r4,model:deepseek_flash_nothink,stardist_he,69,66,0,0,4,4,0.057971014492753624,0.06060606060606061,0.9393939393939394,1056.0858803114625,1.428713778681386,0.5
A6_w3,A6,r4,model:deepseek_flash_nothink,spaceranger,69,70,0,0,4,4,0.057971014492753624,0.05714285714285714,0.9428571428571428,1120.0910851788237,0.0,0.75
