win_id,archetype,rater,method,n_points,n_obj,tp_obs,f1_obs,precision_obs,tp_null_mean,f1_null_mean,f1_null_sd,precision_null_mean,f1_gain
A4_w1,A4,Luca,stardist_he,67,46,39,0.6902654867256637,0.8478260869565217,17.6,0.31150442477876106,0.034683040605779515,0.3826086956521739,0.3787610619469026
A4_w1,A4,Luca,spaceranger,67,76,60,0.8391608391608392,0.7894736842105263,32.75,0.4580419580419581,0.049620792935963054,0.4309210526315789,0.3811188811188811
A4_w1,A4,model:deepseek_flash_nothink,cellpose_rgb,72,62,31,0.4626865671641791,0.5,28.7,0.42835820895522386,0.040076780842082244,0.4629032258064516,0.034328358208955245
A4_w1,A4,model:deepseek_flash_nothink,stardist_he,72,46,24,0.4067796610169492,0.5217391304347826,19.6,0.33220338983050846,0.060733806329386165,0.42608695652173917,0.07457627118644072
A4_w1,A4,model:deepseek_flash_nothink,spaceranger,72,76,43,0.581081081081081,0.5657894736842105,35.0,0.47297297297297297,0.04681218398834801,0.4605263157894737,0.10810810810810806
A4_w1,A4,model:deepseek_flash_think,cellpose_rgb,98,62,44,0.55,0.7096774193548387,33.9,0.42374999999999996,0.040097537330863596,0.5467741935483871,0.12625000000000008
A4_w1,A4,model:deepseek_flash_think,stardist_he,98,46,33,0.4583333333333333,0.717391304347826,25.2,0.35000000000000003,0.04110735718596873,0.5478260869565217,0.10833333333333328
A4_w1,A4,model:deepseek_flash_think,spaceranger,98,76,55,0.632183908045977,0.7236842105263158,42.3,0.4862068965517242,0.03563218390804598,0.5565789473684211,0.1459770114942528
A4_w1,A4,model:gpt6_astra,cellpose_rgb,80,62,57,0.8028169014084507,0.9193548387096774,29.2,0.4112676056338028,0.03380281690140845,0.47096774193548385,0.3915492957746479
A4_w1,A4,model:gpt6_astra,stardist_he,80,46,43,0.6825396825396826,0.9347826086956522,21.65,0.34365079365079365,0.0538923368932221,0.4706521739130434,0.3388888888888889
