tp,n_a,n_b,precision_b_vs_a,recall_b_vs_a,f1_iou05,dice_binary,median_iou_matched,archetype,roi_id,method_a,method_b,density_a,density_b,delta_density_rel
563,777,713,0.7896213183730715,0.7245817245817245,0.7557046979865771,0.7733998767028981,0.8722442057659695,A5,r2,cellpose_rgb,cellpose_hed,924.8863459862564,848.7052312589457,-0.08236808236808241
522,645,835,0.6251497005988024,0.8093023255813954,0.7054054054054054,0.7746826351918479,0.8700983317244224,A5,r3,cellpose_rgb,stardist_he,826.3457865571161,1069.7654756204524,0.2945736434108525
256,645,373,0.6863270777479893,0.39689922480620154,0.5029469548133595,0.4848745572203967,0.7963884649528856,A5,r3,cellpose_rgb,spaceranger,826.3457865571161,477.8712843190764,-0.4217054263565892
317,835,373,0.8498659517426274,0.37964071856287424,0.5248344370860927,0.5326564139250939,0.7710371819960861,A5,r3,stardist_he,spaceranger,1069.7654756204524,477.8712843190764,-0.5532934131736527
295,645,465,0.6344086021505376,0.4573643410852713,0.5315315315315315,0.5505888862844254,0.8463785046728972,A5,r3,cellpose_rgb,cellpose_hed,826.3457865571161,576.520316202639,-0.30232558139534893
426,524,748,0.56951871657754,0.8129770992366412,0.6698113207547169,0.7424456722330381,0.8645993491966646,A5,r4,cellpose_rgb,stardist_he,700.3200131121449,999.6934538318405,0.42748091603053445
252,524,361,0.6980609418282548,0.48091603053435117,0.5694915254237288,0.5334646327020816,0.7819070078244585,A5,r4,cellpose_rgb,spaceranger,700.3200131121449,481.13588687093926,-0.31297709923664124
317,748,361,0.8781163434903048,0.42379679144385024,0.5716862037871957,0.5731924233738289,0.7486772486772487,A5,r4,stardist_he,spaceranger,999.6934538318405,481.13588687093926,-0.518716577540107
331,524,471,0.70276008492569,0.6316793893129771,0.6653266331658292,0.7076843004750422,0.8634280476626948,A5,r4,cellpose_rgb,cellpose_hed,700.3200131121449,626.8131415068626,-0.10496183206106857
769,1008,1183,0.6500422654268808,0.7628968253968254,0.701962574167047,0.8078276491236228,0.8823933975240715,A5,r5,cellpose_rgb,stardist_he,1068.9590537558126,1360.074920925049,0.27233584499461777
532,1008,788,0.6751269035532995,0.5277777777777778,0.5924276169265034,0.6728288956807251,0.8094112349431498,A5,r5,cellpose_rgb,spaceranger,1068.9590537558126,905.5659583485732,-0.15285252960172235
675,1183,788,0.8565989847715736,0.5705832628909552,0.684931506849315,0.7060191331681285,0.7871569135163128,A5,r5,stardist_he,spaceranger,1360.074920925049,905.5659583485732,-0.3341793570219966
