archetype,roi_id,method,other,cls,n,frac_of_method,od_in_median,od_ring_median,od_tissue_median,frac_nuclear_evidence,area_median
A2,r5,cellpose_rgb,stardist_he,exclusive,3275,0.5067306204548971,0.030137546172384278,0.021556196742711926,0.015359269381002445,0.6082442748091603,31.23846057511691
A2,r5,stardist_he,cellpose_rgb,matched,3188,0.9297171186934966,0.0336109268745647,0.0184680304525736,0.015359269381002445,0.7772898368883312,34.23495559431278
A2,r5,stardist_he,cellpose_rgb,exclusive,241,0.07028288130650336,0.03847052703539717,0.02181458741094049,0.015359269381002445,0.8008298755186722,33.33600708855402
A2,r5,cellpose_rgb,spaceranger,matched,4598,0.7114343184279747,0.03252614771224789,0.017804344503933457,0.015359269381002445,0.8123096998695085,31.837759578956085
A2,r5,cellpose_rgb,spaceranger,exclusive,1865,0.2885656815720254,0.029955627622127928,0.022306355139521932,0.015359269381002445,0.5281501340482574,34.16004321883288
A2,r5,spaceranger,cellpose_rgb,matched,4598,0.7034883720930233,0.03090588515929917,0.017694761982562424,0.015359269381002445,0.750761200521966,35.73320310391071
A2,r5,spaceranger,cellpose_rgb,exclusive,1938,0.29651162790697677,0.03197236506960088,0.018244610137177174,0.015359269381002445,0.8013415892672858,23.59739827616745
A2,r5,stardist_he,spaceranger,matched,3133,0.9136774569845436,0.03396084591014658,0.018154658439940262,0.015359269381002445,0.7969996808171083,33.7105689659535
A2,r5,stardist_he,spaceranger,exclusive,296,0.0863225430154564,0.03351826236548382,0.0236482477778993,0.015359269381002445,0.5878378378378378,40.415226571404254
A2,r5,spaceranger,stardist_he,matched,3133,0.4793451652386781,0.03185368243361346,0.01609991665200124,0.015359269381002445,0.8225343121608681,36.257589732269984
A2,r5,spaceranger,stardist_he,exclusive,3403,0.5206548347613219,0.030637018302901935,0.019360341047159623,0.015359269381002445,0.7134880987364091,27.792491303041665
A3,r1,cellpose_rgb,stardist_he,matched,2307,0.5525748502994012,0.0382235665876884,0.014922492450592982,0.010731623799914687,0.9627221499783268,33.03635758663443
A3,r1,cellpose_rgb,stardist_he,exclusive,1868,0.4474251497005988,0.028280625525639397,0.01377309584866193,0.010731623799914687,0.8254817987152034,34.459692720752464
A3,r1,stardist_he,cellpose_rgb,matched,2307,0.9086254430878299,0.03782110874217481,0.015235952785678507,0.010731623799914687,0.9341135674035544,32.81162046019474
A3,r1,stardist_he,cellpose_rgb,exclusive,232,0.09137455691217014,0.04383971741230443,0.021676660353784703,0.010731623799914687,0.875,29.1409140616798
A3,r1,cellpose_rgb,spaceranger,matched,3127,0.7489820359281437,0.03530407284472654,0.014434786306906509,0.010731623799914687,0.9411576590981772,33.186182337594225
A3,r1,cellpose_rgb,spaceranger,exclusive,1048,0.2510179640718563,0.028844387307289773,0.014510924298603387,0.010731623799914687,0.7824427480916031,34.721886034932105
A3,r1,spaceranger,cellpose_rgb,matched,3127,0.6028532870638134,0.032324241822513713,0.013703123719447215,0.010731623799914687,0.9318835944995203,36.257589732269984
A3,r1,spaceranger,cellpose_rgb,exclusive,2060,0.39714671293618664,0.033468411320329614,0.016418119280360778,0.010731623799914687,0.9087378640776699,22.548625019448895
A3,r1,stardist_he,spaceranger,matched,2366,0.9318629381646317,0.03809490611463506,0.015536608489236573,0.010731623799914687,0.9366018596787827,32.39960239505531
A3,r1,stardist_he,spaceranger,exclusive,173,0.06813706183536826,0.03995215671271534,0.02133666079161849,0.010731623799914687,0.8208092485549133,34.75934222267205
A3,r1,spaceranger,stardist_he,matched,2366,0.45614035087719296,0.03440613151987946,0.014345634418383497,0.010731623799914687,0.9501267962806424,36.257589732269984
A3,r1,spaceranger,stardist_he,exclusive,2821,0.543859649122807,0.030916384141212828,0.015186049892709047,0.010731623799914687,0.8996809641970932,25.245470536725175
